"InCS","NFC"
"There is nothing wrong.",-0.333333333333333
"It's wrong and I can provide a valid reason.",2
"There is nothing wrong.",0.666666666666667
"It's wrong and I can provide a valid reason.",0.888888888888889
"It's wrong and I can provide a valid reason.",-0.277777777777778
"There is nothing wrong.",0.833333333333333
"It's wrong and I can provide a valid reason.",-0.0555555555555554
"It's wrong and I can provide a valid reason.",0.944444444444445
"There is nothing wrong.",0.0555555555555554
"It's wrong and I can provide a valid reason.",0.722222222222222
"It's wrong and I can provide a valid reason.",1.61111111111111
"It's wrong but I can't think of a reason.",-1
"There is nothing wrong.",0.666666666666667
"It's wrong but I can't think of a reason.",0.833333333333333
"There is nothing wrong.",0.5
"It's wrong but I can't think of a reason.",-0.5
"It's wrong and I can provide a valid reason.",-1.16666666666667
"There is nothing wrong.",0.388888888888889
"It's wrong and I can provide a valid reason.",1.66666666666667
"There is nothing wrong.",0.833333333333333
"It's wrong and I can provide a valid reason.",-0.833333333333333
"It's wrong and I can provide a valid reason.",-0.111111111111111
"It's wrong and I can provide a valid reason.",1.88888888888889
"It's wrong and I can provide a valid reason.",1.61111111111111
"There is nothing wrong.",1.33333333333333
"It's wrong but I can't think of a reason.",0.5
"It's wrong but I can't think of a reason.",-0.277777777777778
"It's wrong and I can provide a valid reason.",0.333333333333333
"It's wrong and I can provide a valid reason.",-2.11111111111111
"There is nothing wrong.",1.11111111111111
"It's wrong and I can provide a valid reason.",0.666666666666667
"It's wrong and I can provide a valid reason.",1.05555555555556
"It's wrong but I can't think of a reason.",-0.166666666666667
"It's wrong but I can't think of a reason.",-1.16666666666667
"It's wrong and I can provide a valid reason.",0.666666666666667
"It's wrong and I can provide a valid reason.",-1.33333333333333
"It's wrong and I can provide a valid reason.",0.0555555555555554
"It's wrong and I can provide a valid reason.",1.16666666666667
"It's wrong but I can't think of a reason.",-0.0555555555555554
"It's wrong and I can provide a valid reason.",0.388888888888889
"It's wrong but I can't think of a reason.",0.333333333333333
"It's wrong and I can provide a valid reason.",0.0555555555555554
"It's wrong and I can provide a valid reason.",1.11111111111111
"It's wrong and I can provide a valid reason.",0.222222222222222
"It's wrong and I can provide a valid reason.",0.833333333333333
"It's wrong but I can't think of a reason.",0.388888888888889
"It's wrong and I can provide a valid reason.",0.388888888888889
"There is nothing wrong.",0.0555555555555554
"It's wrong but I can't think of a reason.",0.0555555555555554
"It's wrong but I can't think of a reason.",0.555555555555555
"There is nothing wrong.",0.611111111111111
"It's wrong and I can provide a valid reason.",0.444444444444445
"It's wrong and I can provide a valid reason.",-0.611111111111111
"It's wrong but I can't think of a reason.",-0.833333333333333
"There is nothing wrong.",0
"It's wrong and I can provide a valid reason.",0.833333333333333
"It's wrong but I can't think of a reason.",0.611111111111111
"There is nothing wrong.",0.111111111111111
"It's wrong and I can provide a valid reason.",1.38888888888889
"It's wrong but I can't think of a reason.",0.333333333333333
"There is nothing wrong.",-1.16666666666667
"It's wrong and I can provide a valid reason.",0.944444444444445
"It's wrong and I can provide a valid reason.",-0.166666666666667
"It's wrong and I can provide a valid reason.",1.44444444444444
"There is nothing wrong.",1.72222222222222
"It's wrong and I can provide a valid reason.",-0.611111111111111
"There is nothing wrong.",1.44444444444444
"It's wrong and I can provide a valid reason.",0.388888888888889
"It's wrong and I can provide a valid reason.",1
"It's wrong and I can provide a valid reason.",-0.5
"It's wrong but I can't think of a reason.",-0.777777777777778
"There is nothing wrong.",-0.222222222222222
"It's wrong and I can provide a valid reason.",-0.722222222222222
"It's wrong but I can't think of a reason.",0.111111111111111
"It's wrong but I can't think of a reason.",-1.22222222222222
"It's wrong but I can't think of a reason.",-1.66666666666667
"It's wrong but I can't think of a reason.",1
"It's wrong and I can provide a valid reason.",0.611111111111111
"It's wrong and I can provide a valid reason.",0.111111111111111
"There is nothing wrong.",-0.944444444444445
"It's wrong and I can provide a valid reason.",1.44444444444444
"It's wrong and I can provide a valid reason.",0.5
"It's wrong but I can't think of a reason.",0.277777777777778
"It's wrong but I can't think of a reason.",0
"It's wrong and I can provide a valid reason.",0.777777777777778
"It's wrong and I can provide a valid reason.",1.5
"It's wrong and I can provide a valid reason.",3.27777777777778
"There is nothing wrong.",-0.166666666666667
"It's wrong and I can provide a valid reason.",1.83333333333333
"It's wrong and I can provide a valid reason.",0.0555555555555554
"It's wrong and I can provide a valid reason.",-2.88888888888889
"It's wrong and I can provide a valid reason.",1
"It's wrong but I can't think of a reason.",-0.555555555555555
"There is nothing wrong.",2.38888888888889
"There is nothing wrong.",0.833333333333333
"It's wrong and I can provide a valid reason.",2.38888888888889
"It's wrong but I can't think of a reason.",1.38888888888889
"It's wrong but I can't think of a reason.",-0.333333333333333
"It's wrong but I can't think of a reason.",1
"It's wrong but I can't think of a reason.",1.33333333333333
"It's wrong and I can provide a valid reason.",0.166666666666667
"It's wrong and I can provide a valid reason.",0.888888888888889
"There is nothing wrong.",-0.222222222222222
"It's wrong but I can't think of a reason.",1.11111111111111
"It's wrong and I can provide a valid reason.",-0.5
"It's wrong and I can provide a valid reason.",-0.388888888888889
"It's wrong and I can provide a valid reason.",0.0555555555555554
"It's wrong and I can provide a valid reason.",0.888888888888889
"There is nothing wrong.",-0.666666666666667
"It's wrong but I can't think of a reason.",0.555555555555555
"It's wrong and I can provide a valid reason.",-0.888888888888889
"It's wrong and I can provide a valid reason.",0.111111111111111
"There is nothing wrong.",0.111111111111111
"It's wrong and I can provide a valid reason.",0.833333333333333
"It's wrong and I can provide a valid reason.",1.83333333333333
"It's wrong and I can provide a valid reason.",1.11111111111111
"There is nothing wrong.",0.166666666666667
"It's wrong and I can provide a valid reason.",0.388888888888889
"There is nothing wrong.",1.33333333333333
"It's wrong and I can provide a valid reason.",0.277777777777778
"There is nothing wrong.",-1.27777777777778
"There is nothing wrong.",-1.11111111111111
"It's wrong and I can provide a valid reason.",0.444444444444445
"It's wrong and I can provide a valid reason.",2.5
"It's wrong but I can't think of a reason.",1.27777777777778
"It's wrong but I can't think of a reason.",-0.166666666666667
"It's wrong and I can provide a valid reason.",0.0555555555555554
"It's wrong and I can provide a valid reason.",0.166666666666667
"There is nothing wrong.",1.05555555555556
"It's wrong and I can provide a valid reason.",1.83333333333333
"There is nothing wrong.",2.83333333333333
"It's wrong and I can provide a valid reason.",1
"There is nothing wrong.",0.444444444444445
"It's wrong and I can provide a valid reason.",0.611111111111111
"It's wrong and I can provide a valid reason.",1.38888888888889
"It's wrong and I can provide a valid reason.",2
"It's wrong and I can provide a valid reason.",1.77777777777778
"It's wrong and I can provide a valid reason.",0.0555555555555554
"It's wrong and I can provide a valid reason.",1.44444444444444
"It's wrong but I can't think of a reason.",0.944444444444445
"It's wrong but I can't think of a reason.",1
"There is nothing wrong.",0.444444444444445
"It's wrong and I can provide a valid reason.",-0.222222222222222
"It's wrong and I can provide a valid reason.",0.888888888888889
"It's wrong and I can provide a valid reason.",2
"There is nothing wrong.",-0.166666666666667
"It's wrong and I can provide a valid reason.",0.888888888888889
"It's wrong but I can't think of a reason.",-0.222222222222222
"It's wrong and I can provide a valid reason.",0.833333333333333
"It's wrong and I can provide a valid reason.",3.94444444444444
"It's wrong and I can provide a valid reason.",0
"It's wrong and I can provide a valid reason.",-0.333333333333333
"It's wrong but I can't think of a reason.",-0.166666666666667
"It's wrong and I can provide a valid reason.",2.05555555555556
"It's wrong but I can't think of a reason.",0.833333333333333
"There is nothing wrong.",-0.0555555555555554
"It's wrong and I can provide a valid reason.",-0.833333333333333
"It's wrong and I can provide a valid reason.",1.05555555555556
"It's wrong and I can provide a valid reason.",0.277777777777778
"It's wrong and I can provide a valid reason.",0.111111111111111
"It's wrong but I can't think of a reason.",-1
"It's wrong and I can provide a valid reason.",1.55555555555556
"It's wrong and I can provide a valid reason.",0.555555555555555
"It's wrong and I can provide a valid reason.",1.05555555555556
"It's wrong but I can't think of a reason.",0.666666666666667
"It's wrong and I can provide a valid reason.",-0.444444444444445
"It's wrong and I can provide a valid reason.",0.666666666666667
"It's wrong but I can't think of a reason.",-1.05555555555556
"It's wrong and I can provide a valid reason.",-1.11111111111111
"It's wrong and I can provide a valid reason.",-0.444444444444445
"It's wrong and I can provide a valid reason.",0.111111111111111
"It's wrong and I can provide a valid reason.",1
"It's wrong and I can provide a valid reason.",0.611111111111111
"There is nothing wrong.",0.222222222222222
"It's wrong and I can provide a valid reason.",1.55555555555556
"It's wrong and I can provide a valid reason.",-0.722222222222222
"There is nothing wrong.",2.66666666666667
"It's wrong and I can provide a valid reason.",0
"There is nothing wrong.",1.16666666666667
"It's wrong but I can't think of a reason.",1.11111111111111
"It's wrong and I can provide a valid reason.",0.0555555555555554
"It's wrong and I can provide a valid reason.",-2.22222222222222
"It's wrong but I can't think of a reason.",-1.83333333333333
"It's wrong and I can provide a valid reason.",2.22222222222222
"It's wrong and I can provide a valid reason.",-0.333333333333333
"It's wrong and I can provide a valid reason.",0.111111111111111
"It's wrong but I can't think of a reason.",1.72222222222222
"It's wrong and I can provide a valid reason.",-1.27777777777778
"It's wrong and I can provide a valid reason.",0.611111111111111
"There is nothing wrong.",-0.0555555555555554
"It's wrong but I can't think of a reason.",0.111111111111111
